"Designator","Quantity","Value","Footprint"
"BAT1, ","1","Battery","MRS_Connectors:Header_1x02_P2.54mm"
"C1, C5, C7, ","3","1uF","MRS_Passives:C0603"
"C2, C3, ","2","0.1uF","MRS_Passives:C0603"
"C4, C6, ","2","10uF","MRS_Passives:C0603"
"H1, H2, ","2","Mounting_hole_unplated_3,2mm","MRS_Mechanical:Mounting_hole_unplated_3,2mm"
"H6, H5, H4, H3, ","4","Break_away_tab","MRS_Mechanical:Breakaway_tab_holes"
"H111, ","1","Mr_Gardener_Logo_Small","Logos:mrg_gardener_08mm"
"J1, ","1","SWO","MRS_Connectors:Header_1x05_P2.54mm"
"J3, J2, ","2","Header_1x3","MRS_Connectors:Header_1x03_P2.54mm"
"J4, ","1","Header_1x2","MRS_Connectors:Header_1x02_P2.54mm"
"LD3, ","1","ORANGE","MRS_Diodes:LED_0805"
"LD13, ","1","RED","MRS_Diodes:LED_0805"
"Q1, Q2, ","2","2N7002P.215","MRS_SOT:SOT-23"
"R1, ","1","10k","MRS_Passives:R0603"
"R3, R2, ","2","1k","MRS_Passives:R0603"
"U1, ","1","STM32L031K6T6","MRS_QFP:LQFP-32_7x7mm_P0.8mm"
"U2, ","1","AP2204RB-3.3TRG1","MRS_SOT:SOT-89"
